Concept,Description,Cleaned_Description,References,Sentences,KeyWords_KeyBert,Synonyms_SBert,KeyWords_SBert
PROJECT RISK MANAGEMENT,11PROJECT RISK MANAGEMENTProject Risk Management includes the processes of conducting risk management planning identification analysis response planning response implementation and monitoring risk on a project. The objectives of project risk management are to increase the probability and/or impact of positive risks and to decrease the probability and/or impact of negative risks in order to optimize the chances of project success.The Project Risk Management processes are:11.1 Plan Risk Management—The process of defining how to conduct risk management activities for a project.11.2 Identify Risks—The process of identifying individual project risks as well as sources of overall project risk and documenting their characteristics.11.3 Perform Qualitative Risk Analysis—The process of prioritizing individual project risks for further analysis or action by assessing their probability of occurrence and impact as well as other characteristics.11.4 Perform Quantitative Risk Analysis—The process of numerically analyzing the combined effect of identified individual project risks and other sources of uncertainty on overall project objectives.11.5 Plan Risk Responses—The process of developing options selecting strategies and agreeing on actions to address overall project risk exposure as well as to treat individual project risks.11.6 Implement Risk Responses—The process of implementing agreed-upon risk response plans.11.7 Monitor Risks—The process of monitoring the implementation of agreed-upon risk response plans tracking identified risks identifying and analyzing new risks and evaluating risk process effectiveness throughout the project.Figure 11-1 provides an overview of the Project Risk Management processes. The Project Management Risk processes are presented as discrete processes with defined interfaces while in practice they overlap and interact in ways that cannot be completely detailed in this PMBOK® Guide. Figure 11-1. Project Risk Management Overview.1 Inputs.1 Project charter.2 Project management plan.3 Project documents.4  Enterprise environmental    factors.5 Organizational process    assets.2 Tools & Techniques.1 Expert judgment.2 Data analysis.3 Meetings.3 Outputs.1 Risk management planProject RiskManagement Overview11.1 PlanRisk Management.1 Inputs.1 Project management plan.2 Project documents.3 Agreements.4 Procurement     documentation.5 Enterprise environmental    factors.6 Organizational process    assets.2 Tools & Techniques.1 Expert judgment.2 Data gathering  .3 Data analysis.4 Interpersonal and team    skills.5 Prompt lists.6 Meetings. 3 Outputs.1 Risk register.2 Risk report.3 Project documents    updates11.2 Identify Risks.1 Inputs.1 Project management plan.2 Project documents.3 Enterprise environmental    factors.4 Organizational process    assets .2 Tools & Techniques.1 Expert judgment.2 Data gathering.3 Data analysis.4 Interpersonal and team    skills.5 Risk categorization.6 Data representation.7 Meetings.3 Outputs.1 Project documents updates11.4 PerformQuantitative Risk Analysis1 Inputs.1 Project management plan .2 Project documents.3 Enterprise environmental    factors.4 Organizational process    assets.2 Tools & Techniques.1 Expert judgment .2 Data gathering.3 Interpersonal and team    skills.4 Strategies for threats.5 Strategies for opportunities.6 Contingent response     strategies.7 Strategies for overall    project risk.8 Data analysis.9 Decision making.3 Outputs.1 Change requests.2 Project management plan    updates.3 Project documents updates11.5 PlanRisk Responses.1 Inputs.1 Project management plan.2 Project documents.3 Organizational process     assets.2 Tools & Techniques.1 Expert judgment.2 Interpersonal and team    skills.3 Project management     information system.3 Outputs.1 Change requests.2 Project documents updates11.6 ImplementRisk Responses .1 Inputs.1 Project management plan.2 Project documents .3 Work performance data .4 Work performance reports.2 Tools & Techniques.1 Data analysis.2 Audits.3 Meetings.3 Outputs .1 Work performance    information.2 Change requests.3 Project management plan    updates.4 Project documents updates.5 Organizational process     assets updates11.7 Monitor Risks.1 Inputs.1 Project management plan.2 Project documents.3 Enterprise environmental    factors.4 Organizational process    assets.2 Tools & Techniques.1 Expert judgment.2 Data gathering.3 Interpersonal and team    skills.4 Representations of    uncertainty.5 Data analysis.3 Outputs.1 Project documents    updates11.3 PerformQualitative Risk AnalysisKEY CONCEPTS FOR PROJECT RISK MANAGEMENTAll projects are risky since they are unique undertakings with varying degrees of complexity that aim to deliver benefits. They do this in a context of constraints and assumptions while responding to stakeholder expectations that may be conﬂicting and changing. Organizations should choose to take project risk in a controlled and intentional manner in order to create value while balancing risk and reward.Project Risk Management aims to identify and manage risks that are not addressed by the other project management processes. When unmanaged these risks have the potential to cause the project to deviate from the plan and fail to achieve the defined project objectives. Consequently the effectiveness of Project Risk Management is directly related to project success.Risk exists at two levels within every project. Each project contains individual risks that can affect the achievement of project objectives. It is also important to consider the riskiness of the overall project which arises from the combination of individual project risks and other sources of uncertainty. Project Risk Management processes address both levels of risk in projects and these are defined as follows:Individual project risk is an uncertain event or condition that if it occurs has a positive or negative effect on one or more project objectives.Overall project risk is the effect of uncertainty on the project as a whole arising from all sources of uncertainty including individual risks representing the exposure of stakeholders to the implications of variations in project outcome both positive and negative.Individual project risks can have a positive or negative effect on project objectives if they occur. Project Risk Management aims to exploit or enhance positive risks opportunities while avoiding or mitigating negative risks threats. Unmanaged threats may result in issues or problems such as delay cost overruns performance shortfall or loss of reputation. Opportunities that are captured can lead to benefits such as reduced time and cost improved performance or reputation.Overall project risk can also be positive or negative. Management of overall project risk aims to keep project risk exposure within an acceptable range by reducing drivers of negative variation promoting drivers of positive variation and maximizing the probability of achieving overall project objectives. Risks will continue to emerge during the lifetime of the project so Project Risk Management processes should be conducted iteratively. Risk is initially addressed during project planning by shaping the project strategy. Risk should also be monitored and managed as the project progresses to ensure that the project stays on track and emergent risks are addressed.In order to manage risk effectively on a particular project the project team needs to know what level of risk exposure is acceptable in pursuit of the project objectives. This is defined by measurable risk thresholds that reﬂect the risk appetite of the organization and project stakeholders. Risk thresholds express the degree of acceptable variation around a project objective. They are explicitly stated and communicated to the project team and reﬂected in the definitions of risk impact levels for the project.TRENDS AND EMERGING PRACTICES IN PROJECT RISK MANAGEMENTThe focus of project risk management is broadening to ensure that all types of risk are considered and that project risks are understood in a wider context. Trends and emerging practices for Project Risk Management include but are not limited to:Non-event risks. Most projects focus only on risks that are uncertain future events that may or may not occur. Examples of event-based risks include: a key seller may go out of business during the project the customer may change the requirement after design is complete or a subcontractor may propose enhancements to the standard operating processes.There is an increasing recognition that non-event risks need to be identified and managed. There are two main types of non-event risks: Variability risk. Uncertainty exists about some key characteristics of a planned event or activity or decision. Examples of variability risks include: productivity may be above or below target the number of errors found during testing may be higher or lower than expected or unseasonal weather conditions may occur during the construction phase. Ambiguity risk. Uncertainty exists about what might happen in the future. Areas of the project where imperfect knowledge might affect the project’s ability to achieve its objectives include: elements of the requirement or technical solution future developments in regulatory frameworks or inherent systemic complexity in the project.Variability risks can be addressed using Monte Carlo analysis with the range of variation reﬂected in probability distributions followed by actions to reduce the spread of possible outcomes. Ambiguity risks are managed by defining those areas where there is a deficit of knowledge or understanding then filling the gap by obtaining expert external input or benchmarking against best practices. Ambiguity is also addressed through incremental development prototyping or simulation.Project resilience. The existence of emergent risk is becoming clear with a growing awareness of so-called unknowable-unknowns. These are risks that can only be recognized after they have occurred. Emergent risks can be tackled through developing project resilience. This requires each project to have: Right level of budget and schedule contingency for emergent risks in addition to a specific risk budget for known risks; Flexible project processes that can cope with emergent risk while maintaining overall direction toward project goals including strong change management; Empowered project team that has clear objectives and that is trusted to get the job done within agreed-upon limits; Frequent review of early warning signs to identify emergent risks as early as possible; and Clear input from stakeholders to clarify areas where the project scope or strategy can be adjusted in response to emergent risks.Integrated risk management. Projects exist in an organizational context and they may form part of a program or portfolio. Risk exists at each of these levels and risks should be owned and managed at the appropriate level. Some risks identified at higher levels will be delegated to the project team for management and some project risks may be escalated to higher levels if they are best managed outside the project. A coordinated approach to enterprise-wide risk management ensures alignment and coherence in the way risk is managed across all levels. This builds risk efficiency into the structure of programs and portfolios providing the greatest overall value for a given level of risk exposure. TAILORING CONSIDERATIONSBecause each project is unique it is necessary to tailor the way Project Risk Management processes are applied. Considerations for tailoring include but are not limited to:Project size. Does the project’s size in terms of budget duration scope or team size require a more detailed approach to risk management? Or is it small enough to justify a simplified risk process?Project complexity. Is a robust risk approach demanded by high levels of innovation new technology commercial arrangements interfaces or external dependencies that increase project complexity? Or is the project simple enough that a reduced risk process will suffice?Project importance. How strategically important is the project? Is the level of risk increased for this project because it aims to produce breakthrough opportunities addresses significant blocks to organizational performance or involves major product innovation?Development approach. Is this a waterfall project where risk processes can be followed sequentially and iteratively or does the project follow an agile approach where risk is addressed at the start of each iteration as well as during its execution?Tailoring of the Project Risk Management processes to meet these considerations is part of the Plan Risk Management process and the outcomes of tailoring decisions are recorded in the risk management plan.CONSIDERATIONS FOR AGILE/ADAPTIVE ENVIRONMENTSHigh-variability environments by definition incur more uncertainty and risk. To address this projects managed using adaptive approaches make use of frequent reviews of incremental work products and cross-functional project teams to accelerate knowledge sharing and ensure that risk is understood and managed. Risk is considered when selecting the content of each iteration and risks will also be identified analyzed and managed during each iteration.Additionally the requirements are kept as a living document that is updated regularly and work may be reprioritized as the project progresses based on an improved understanding of current risk exposure.,11project risk managementproject risk management includes processes conducting risk management planning identification analysis response planning response implementation monitoring risk project. objectives project risk management increase probability and/or impact positive risks decrease probability and/or impact negative risks order optimize chances project success.the project risk management processes are:11.1 plan risk management—the process defining conduct risk management activities project.11.2 identify risks—the process identifying individual project risks well sources overall project risk documenting characteristics.11.3 perform qualitative risk analysis—the process prioritizing individual project risks analysis action assessing probability occurrence impact well characteristics.11.4 perform quantitative risk analysis—the process numerically analyzing combined effect identified individual project risks sources uncertainty overall project objectives.11.5 plan risk responses—the process developing options selecting strategies agreeing actions address overall project risk exposure well treat individual project risks.11.6 implement risk responses—the process implementing agreed-upon risk response plans.11.7 monitor risks—the process monitoring implementation agreed-upon risk response plans tracking identified risks identifying analyzing new risks evaluating risk process effectiveness throughout project.figure 11-1 provides overview project risk management processes. project management risk processes presented discrete processes defined interfaces practice overlap interact ways cannot completely detailed pmbok® guide. figure 11-1. project risk management overview.1 inputs.1 project charter.2 project management plan.3 project documents.4 enterprise environmental factors.5 organizational process assets.2 tools & techniques.1 expert judgment.2 data analysis.3 meetings.3 outputs.1 risk management planproject riskmanagement overview11.1 planrisk management.1 inputs.1 project management plan.2 project documents.3 agreements.4 procurement documentation.5 enterprise environmental factors.6 organizational process assets.2 tools & techniques.1 expert judgment.2 data gathering .3 data analysis.4 interpersonal team skills.5 prompt lists.6 meetings. 3 outputs.1 risk register.2 risk report.3 project documents updates11.2 identify risks.1 inputs.1 project management plan.2 project documents.3 enterprise environmental factors.4 organizational process assets .2 tools & techniques.1 expert judgment.2 data gathering.3 data analysis.4 interpersonal team skills.5 risk categorization.6 data representation.7 meetings.3 outputs.1 project documents updates11.4 performquantitative risk analysis1 inputs.1 project management plan .2 project documents.3 enterprise environmental factors.4 organizational process assets.2 tools & techniques.1 expert judgment .2 data gathering.3 interpersonal team skills.4 strategies threats.5 strategies opportunities.6 contingent response strategies.7 strategies overall project risk.8 data analysis.9 decision making.3 outputs.1 change requests.2 project management plan updates.3 project documents updates11.5 planrisk responses.1 inputs.1 project management plan.2 project documents.3 organizational process assets.2 tools & techniques.1 expert judgment.2 interpersonal team skills.3 project management information system.3 outputs.1 change requests.2 project documents updates11.6 implementrisk responses .1 inputs.1 project management plan.2 project documents .3 work performance data .4 work performance reports.2 tools & techniques.1 data analysis.2 audits.3 meetings.3 outputs .1 work performance information.2 change requests.3 project management plan updates.4 project documents updates.5 organizational process assets updates11.7 monitor risks.1 inputs.1 project management plan.2 project documents.3 enterprise environmental factors.4 organizational process assets.2 tools & techniques.1 expert judgment.2 data gathering.3 interpersonal team skills.4 representations uncertainty.5 data analysis.3 outputs.1 project documents updates11.3 performqualitative risk analysiskey concepts project risk managementall projects risky since unique undertakings varying degrees complexity aim deliver benefits. context constraints assumptions responding stakeholder expectations may conﬂicting changing. organizations choose take project risk controlled intentional manner order create value balancing risk reward.project risk management aims identify manage risks addressed project management processes. unmanaged risks potential cause project deviate plan fail achieve defined project objectives. consequently effectiveness project risk management directly related project success.risk exists two levels within every project. project contains individual risks affect achievement project objectives. also important consider riskiness overall project arises combination individual project risks sources uncertainty. project risk management processes address levels risk projects defined follows:individual project risk uncertain event condition occurs positive negative effect one project objectives.overall project risk effect uncertainty project whole arising sources uncertainty including individual risks representing exposure stakeholders implications variations project outcome positive negative.individual project risks positive negative effect project objectives occur. project risk management aims exploit enhance positive risks opportunities avoiding mitigating negative risks threats. unmanaged threats may result issues problems delay cost overruns performance shortfall loss reputation. opportunities captured lead benefits reduced time cost improved performance reputation.overall project risk also positive negative. management overall project risk aims keep project risk exposure within acceptable range reducing drivers negative variation promoting drivers positive variation maximizing probability achieving overall project objectives. risks continue emerge lifetime project project risk management processes conducted iteratively. risk initially addressed project planning shaping project strategy. risk also monitored managed project progresses ensure project stays track emergent risks addressed.in order manage risk effectively particular project project team needs know level risk exposure acceptable pursuit project objectives. defined measurable risk thresholds reﬂect risk appetite organization project stakeholders. risk thresholds express degree acceptable variation around project objective. explicitly stated communicated project team reﬂected definitions risk impact levels project.trends emerging practices project risk managementthe focus project risk management broadening ensure types risk considered project risks understood wider context. trends emerging practices project risk management include limited to:non-event risks. projects focus risks uncertain future events may may occur. examples event-based risks include: key seller may go business project customer may change requirement design complete subcontractor may propose enhancements standard operating processes.there increasing recognition non-event risks need identified managed. two main types non-event risks: variability risk. uncertainty exists key characteristics planned event activity decision. examples variability risks include: productivity may target number errors found testing may higher lower expected unseasonal weather conditions may occur construction phase. ambiguity risk. uncertainty exists might happen future. areas project imperfect knowledge might affect project’s ability achieve objectives include: elements requirement technical solution future developments regulatory frameworks inherent systemic complexity project.variability risks addressed using monte carlo analysis range variation reﬂected probability distributions followed actions reduce spread possible outcomes. ambiguity risks managed defining areas deficit knowledge understanding filling gap obtaining expert external input benchmarking best practices. ambiguity also addressed incremental development prototyping simulation.project resilience. existence emergent risk becoming clear growing awareness so-called unknowable-unknowns. risks recognized occurred. emergent risks tackled developing project resilience. requires project have: right level budget schedule contingency emergent risks addition specific risk budget known risks; flexible project processes cope emergent risk maintaining overall direction toward project goals including strong change management; empowered project team clear objectives trusted get job done within agreed-upon limits; frequent review early warning signs identify emergent risks early possible; clear input stakeholders clarify areas project scope strategy adjusted response emergent risks.integrated risk management. projects exist organizational context may form part program portfolio. risk exists levels risks owned managed appropriate level. risks identified higher levels delegated project team management project risks may escalated higher levels best managed outside project. coordinated approach enterprise-wide risk management ensures alignment coherence way risk managed across levels. builds risk efficiency structure programs portfolios providing greatest overall value given level risk exposure. tailoring considerationsbecause project unique necessary tailor way project risk management processes applied. considerations tailoring include limited to:project size. project’s size terms budget duration scope team size require detailed approach risk management? small enough justify simplified risk process?project complexity. robust risk approach demanded high levels innovation new technology commercial arrangements interfaces external dependencies increase project complexity? project simple enough reduced risk process suffice?project importance. strategically important project? level risk increased project aims produce breakthrough opportunities addresses significant blocks organizational performance involves major product innovation?development approach. waterfall project risk processes followed sequentially iteratively project follow agile approach risk addressed start iteration well execution?tailoring project risk management processes meet considerations part plan risk management process outcomes tailoring decisions recorded risk management plan.considerations agile/adaptive environmentshigh-variability environments definition incur uncertainty risk. address projects managed using adaptive approaches make use frequent reviews incremental work products cross-functional project teams accelerate knowledge sharing ensure risk understood managed. risk considered selecting content iteration risks also identified analyzed managed iteration.additionally requirements kept living document updated regularly work may reprioritized project progresses based improved understanding current risk exposure.,['https://i.ibb.co/pWPHv3r/396.png'],"['11project risk managementproject risk management includes process conducting risk management planning identification analysis response planning response implementation monitoring risk project', 'objective project risk management increase probability and/or impact positive risk decrease probability and/or impact negative risk order optimize chance project success', 'the project risk management process are:11.1 plan risk management—the process defining conduct risk management activity project.11.2 identify risks—the process identifying individual project risk well source overall project risk documenting characteristics.11.3 perform qualitative risk analysis—the process prioritizing individual project risk analysis action assessing probability occurrence impact well characteristics.11.4 perform quantitative risk analysis—the process numerically analyzing combined effect identified individual project risk source uncertainty overall project objectives.11.5 plan risk responses—the process developing option selecting strategy agreeing action address overall project risk exposure well treat individual project risks.11.6 implement risk responses—the process implementing agreed-upon risk response plans.11.7 monitor risks—the process monitoring implementation agreed-upon risk response plan tracking identified risk identifying analyzing new risk evaluating risk process effectiveness throughout project', 'figure 11-1 provides overview project risk management process', 'project management risk process presented discrete process defined interface practice overlap interact way cannot completely detailed pmbok® guide', 'figure 11-1. project risk management overview.1 inputs.1 project charter.2 project management plan.3 project documents.4 enterprise environmental factors.5 organizational process assets.2 tool & techniques.1 expert judgment.2 data analysis.3 meetings.3 outputs.1 risk management planproject riskmanagement overview11.1 planrisk management.1 inputs.1 project management plan.2 project documents.3 agreements.4 procurement documentation.5 enterprise environmental factors.6 organizational process assets.2 tool & techniques.1 expert judgment.2 data gathering .3 data analysis.4 interpersonal team skills.5 prompt lists.6 meeting', '3 outputs.1 risk register.2 risk report.3 project document updates11.2 identify risks.1 inputs.1 project management plan.2 project documents.3 enterprise environmental factors.4 organizational process asset .2 tool & techniques.1 expert judgment.2 data gathering.3 data analysis.4 interpersonal team skills.5 risk categorization.6 data representation.7 meetings.3 outputs.1 project document updates11.4 performquantitative risk analysis1 inputs.1 project management plan .2 project documents.3 enterprise environmental factors.4 organizational process assets.2 tool & techniques.1 expert judgment .2 data gathering.3 interpersonal team skills.4 strategy threats.5 strategy opportunities.6 contingent response strategies.7 strategy overall project risk.8 data analysis.9 decision making.3 outputs.1 change requests.2 project management plan updates.3 project document updates11.5 planrisk responses.1 inputs.1 project management plan.2 project documents.3 organizational process assets.2 tool & techniques.1 expert judgment.2 interpersonal team skills.3 project management information system.3 outputs.1 change requests.2 project document updates11.6 implementrisk response .1 inputs.1 project management plan.2 project document .3 work performance data .4 work performance reports.2 tool & techniques.1 data analysis.2 audits.3 meetings.3 output .1 work performance information.2 change requests.3 project management plan updates.4 project document updates.5 organizational process asset updates11.7 monitor risks.1 inputs.1 project management plan.2 project documents.3 enterprise environmental factors.4 organizational process assets.2 tool & techniques.1 expert judgment.2 data gathering.3 interpersonal team skills.4 representation uncertainty.5 data analysis.3 outputs.1 project document updates11.3 performqualitative risk analysiskey concept project risk managementall project risky since unique undertaking varying degree complexity aim deliver benefit', 'context constraint assumption responding stakeholder expectation may conﬂicting changing', 'organization choose take project risk controlled intentional manner order create value balancing risk reward', 'project risk management aim identify manage risk addressed project management process', 'unmanaged risk potential cause project deviate plan fail achieve defined project objective', 'consequently effectiveness project risk management directly related project success', 'risk exists two level within every project', 'project contains individual risk affect achievement project objective', 'also important consider riskiness overall project arises combination individual project risk source uncertainty', 'project risk management process address level risk project defined follows:individual project risk uncertain event condition occurs positive negative effect one project objective', 'overall project risk effect uncertainty project whole arising source uncertainty including individual risk representing exposure stakeholder implication variation project outcome positive negative', 'individual project risk positive negative effect project objective occur', 'project risk management aim exploit enhance positive risk opportunity avoiding mitigating negative risk threat', 'unmanaged threat may result issue problem delay cost overrun performance shortfall loss reputation', 'opportunity captured lead benefit reduced time cost improved performance reputation', 'overall project risk also positive negative', 'management overall project risk aim keep project risk exposure within acceptable range reducing driver negative variation promoting driver positive variation maximizing probability achieving overall project objective', 'risk continue emerge lifetime project project risk management process conducted iteratively', 'risk initially addressed project planning shaping project strategy', 'risk also monitored managed project progress ensure project stay track emergent risk addressed', 'in order manage risk effectively particular project project team need know level risk exposure acceptable pursuit project objective', 'defined measurable risk threshold reﬂect risk appetite organization project stakeholder', 'risk threshold express degree acceptable variation around project objective', 'explicitly stated communicated project team reﬂected definition risk impact level project', 'trend emerging practice project risk managementthe focus project risk management broadening ensure type risk considered project risk understood wider context', 'trend emerging practice project risk management include limited to:non-event risk', 'project focus risk uncertain future event may may occur', 'example event-based risk include: key seller may go business project customer may change requirement design complete subcontractor may propose enhancement standard operating process', 'there increasing recognition non-event risk need identified managed', 'two main type non-event risks: variability risk', 'uncertainty exists key characteristic planned event activity decision', 'example variability risk include: productivity may target number error found testing may higher lower expected unseasonal weather condition may occur construction phase', 'ambiguity risk', 'uncertainty exists might happen future', 'area project imperfect knowledge might affect project’s ability achieve objective include: element requirement technical solution future development regulatory framework inherent systemic complexity project', 'variability risk addressed using monte carlo analysis range variation reﬂected probability distribution followed action reduce spread possible outcome', 'ambiguity risk managed defining area deficit knowledge understanding filling gap obtaining expert external input benchmarking best practice', 'ambiguity also addressed incremental development prototyping simulation', 'project resilience', 'existence emergent risk becoming clear growing awareness so-called unknowable-unknowns', 'risk recognized occurred', 'emergent risk tackled developing project resilience', 'requires project have: right level budget schedule contingency emergent risk addition specific risk budget known risks; flexible project process cope emergent risk maintaining overall direction toward project goal including strong change management; empowered project team clear objective trusted get job done within agreed-upon limits; frequent review early warning sign identify emergent risk early possible; clear input stakeholder clarify area project scope strategy adjusted response emergent risk', 'integrated risk management', 'project exist organizational context may form part program portfolio', 'risk exists level risk owned managed appropriate level', 'risk identified higher level delegated project team management project risk may escalated higher level best managed outside project', 'coordinated approach enterprise-wide risk management ensures alignment coherence way risk managed across level', 'build risk efficiency structure program portfolio providing greatest overall value given level risk exposure', 'tailoring considerationsbecause project unique necessary tailor way project risk management process applied', 'consideration tailoring include limited to:project size', 'project’s size term budget duration scope team size require detailed approach risk management? small enough justify simplified risk process?project complexity', 'robust risk approach demanded high level innovation new technology commercial arrangement interface external dependency increase project complexity? project simple enough reduced risk process suffice?project importance', 'strategically important project? level risk increased project aim produce breakthrough opportunity address significant block organizational performance involves major product innovation?development approach', 'waterfall project risk process followed sequentially iteratively project follow agile approach risk addressed start iteration well execution?tailoring project risk management process meet consideration part plan risk management process outcome tailoring decision recorded risk management plan', 'consideration agile/adaptive environmentshigh-variability environment definition incur uncertainty risk', 'address project managed using adaptive approach make use frequent review incremental work product cross-functional project team accelerate knowledge sharing ensure risk understood managed', 'risk considered selecting content iteration risk also identified analyzed managed iteration', 'additionally requirement kept living document updated regularly work may reprioritized project progress based improved understanding current risk exposure']","['risk managementproject risk management', 'project risk management', 'project risk management overview', 'project risk managementall', 'project risk management processes', 'project project risk management', 'overview project risk management', 'project risk processes followed', 'risk managementall projects', 'concepts project risk managementall']","['project risk management', 'project risk management overview', 'project risk managementall', 'project risk management processes', 'project project risk management', 'overview project risk management', 'project risk processes followed', 'risk managementall projects', 'concepts project risk managementall']",['risk managementproject risk management']
Plan Risk Management,11.1 PLAN RISK MANAGEMENTPlan Risk Management is the process of defining how to conduct risk management activities for a project. The key benefit of this process is that it ensures that the degree type and visibility of risk management are proportionate to both risks and the importance of the project to the organization and other stakeholders. This process is performed once or at predefined points in the project. The inputs tools and techniques and outputs of the process are depicted in Figure 11-2. Figure 11-3 depicts the data ﬂow diagram for the process.Figure 11-2. Plan Risk Management: Inputs Tools & Techniques and OutputsTools & TechniquesInputsOutputsPlan Risk Management.1 Expert judgment.2 Data analysis• Stakeholder analysis.3 Meetings.1 Project charter.2 Project management plan• All components.3 Project documents• Stakeholder register.4 Enterprise environmental   factors.5 Organizational process assets.1 Risk management plan,11.1 plan risk managementplan risk management process defining conduct risk management activities project. key benefit process ensures degree type visibility risk management proportionate risks importance project organization stakeholders. process performed predefined points project. inputs tools techniques outputs process depicted figure 11-2. figure 11-3 depicts data ﬂow diagram process.figure 11-2. plan risk management: inputs tools & techniques outputstools & techniquesinputsoutputsplan risk management.1 expert judgment.2 data analysis• stakeholder analysis.3 meetings.1 project charter.2 project management plan• components.3 project documents• stakeholder register.4 enterprise environmental factors.5 organizational process assets.1 risk management plan,['https://i.ibb.co/rssfq3x/401.jpg'],"['11.1 plan risk managementplan risk management process defining conduct risk management activity project', 'key benefit process ensures degree type visibility risk management proportionate risk importance project organization stakeholder', 'process performed predefined point project', 'input tool technique output process depicted figure 11-2. figure 11-3 depicts data ﬂow diagram process', 'figure 11-2. plan risk management: input tool & technique outputstools & techniquesinputsoutputsplan risk management.1 expert judgment.2 data analysis• stakeholder analysis.3 meetings.1 project charter.2 project management plan• components.3 project documents• stakeholder register.4 enterprise environmental factors.5 organizational process assets.1 risk management plan']","['risk managementplan risk', 'plan risk management', 'risk management process defining', 'risk managementplan risk management', 'risk management plan', 'risk management activities project', 'plan risk managementplan risk', 'risks importance project organization', 'risk management process', 'plan risk managementplan']","['plan risk management', 'risk management plan', 'plan risk managementplan risk', 'plan risk managementplan']","['risk managementplan risk', 'risk management process defining', 'risk managementplan risk management', 'risk management activities project', 'risks importance project organization', 'risk management process']"
Plan Risk Management Inputs,11.1.1 PLAN RISK MANAGEMENT: INPUTS11.1.1.1 PROJECT CHARTERDescribed in Section 4.1.3.1. The project charter documents the high-level project description and boundaries high-level requirements and risks.11.1.1.2 PROJECT MANAGEMENT PLANDescribed in Section 4.2.3.1. In planning Project Risk Management all approved subsidiary management plans should be taken into consideration in order to make the risk management plan consistent with them. The methodology outlined in other project management plan components might inﬂuence the Plan Risk Management process.11.1.1.3 PROJECT DOCUMENTSProject documents that can be considered as inputs for this process include but are not limited to the stakeholder register as described in Section 13.1.3.1. The stakeholder register contains details of the project’s stakeholders and provides an overview of their project roles and their attitude toward risk on this project. This is useful in determining roles and responsibilities for managing risk on the project as well as setting risk thresholds for the project.11.1.1.4 ENTERPRISE ENVIRONMENTAL FACTORSThe enterprise environmental factors that can inﬂuence the Plan Risk Management process include but are not limited to overall risk thresholds set by the organization or key stakeholders.11.1.1.5 ORGANIZATIONAL PROCESS ASSETSThe organizational process assets that can inﬂuence the Plan Risk Management process include but are not limited to:Organizational risk policy;Risk categories possibly organized into a risk breakdown structure;Common definitions of risk concepts and terms;Risk statement formats;Templates for the risk management plan risk register and risk report;Roles and responsibilities;Authority levels for decision making; andLessons learned repository from previous similar projects.,11.1.1 plan risk management: inputs11.1.1.1 project charterdescribed section 4.1.3.1. project charter documents high-level project description boundaries high-level requirements risks.11.1.1.2 project management plandescribed section 4.2.3.1. planning project risk management approved subsidiary management plans taken consideration order make risk management plan consistent them. methodology outlined project management plan components might inﬂuence plan risk management process.11.1.1.3 project documentsproject documents considered inputs process include limited stakeholder register described section 13.1.3.1. stakeholder register contains details project’s stakeholders provides overview project roles attitude toward risk project. useful determining roles responsibilities managing risk project well setting risk thresholds project.11.1.1.4 enterprise environmental factorsthe enterprise environmental factors inﬂuence plan risk management process include limited overall risk thresholds set organization key stakeholders.11.1.1.5 organizational process assetsthe organizational process assets inﬂuence plan risk management process include limited to:organizational risk policy;risk categories possibly organized risk breakdown structure;common definitions risk concepts terms;risk statement formats;templates risk management plan risk register risk report;roles responsibilities;authority levels decision making; andlessons learned repository previous similar projects.,['https://i.ibb.co/fXjdfx5/402.jpg'],"['11.1.1 plan risk management: inputs11.1.1.1 project charterdescribed section 4.1.3.1. project charter document high-level project description boundary high-level requirement risks.11.1.1.2 project management plandescribed section 4.2.3.1. planning project risk management approved subsidiary management plan taken consideration order make risk management plan consistent them', 'methodology outlined project management plan component might inﬂuence plan risk management process.11.1.1.3 project documentsproject document considered input process include limited stakeholder register described section 13.1.3.1. stakeholder register contains detail project’s stakeholder provides overview project role attitude toward risk project', 'useful determining role responsibility managing risk project well setting risk threshold project.11.1.1.4 enterprise environmental factorsthe enterprise environmental factor inﬂuence plan risk management process include limited overall risk threshold set organization key stakeholders.11.1.1.5 organizational process assetsthe organizational process asset inﬂuence plan risk management process include limited to:organizational risk policy;risk category possibly organized risk breakdown structure;common definition risk concept terms;risk statement formats;templates risk management plan risk register risk report;roles responsibilities;authority level decision making; andlessons learned repository previous similar project']","['risk project setting', 'managing risk project setting', 'risk project setting risk', 'project risk management', 'risk management inputs11 project', 'project risk management approved', 'planning project risk management', 'responsibilities managing risk project', 'managing risk project', 'risks 11 project management']",[],"['risk project setting', 'managing risk project setting', 'risk project setting risk', 'project risk management', 'risk management inputs11 project', 'project risk management approved', 'planning project risk management', 'responsibilities managing risk project', 'managing risk project', 'risks 11 project management']"
